id,atom_counts,z_variance
2dm-2339,"{'Sb': 12, 'Se': 12}",10.18
2dm-2340,"{'Te': 4, 'Pd': 3}",1.77
2dm-2342,"{'As': 1, 'I': 3}",1.94
2dm-2344,"{'Sn': 3, 'As': 4}",2.95
2dm-2347,"{'Ag': 4, 'Te': 2}",10.53
2dm-2348,"{'Tc': 2, 'O': 4}",10.88
2dm-2350,"{'Ag': 2, 'Te': 4}",9.13
2dm-2356,"{'Ba': 2, 'N': 1}",1.23
2dm-2357,"{'Se': 1, 'O': 3}",1.15
2dm-2358,"{'Si': 3, 'As': 4}",2.81
2dm-2359,"{'Au': 2, 'S': 4}",9.2
2dm-2360,"{'Sb': 10, 'Te': 10}",10.11
2dm-2365,"{'Tc': 4, 'O': 14}",2.25
2dm-2366,"{'As': 10, 'S': 10}",10.34
2dm-2367,"{'Te': 2, 'As': 2}",1.36
2dm-2368,"{'Te': 8, 'Os': 6}",2.79
2dm-2370,"{'Te': 8, 'Os': 4}",1.45
2dm-2371,"{'Cu': 4, 'S': 2}",10.73
2dm-2373,"{'Cd': 3, 'P': 1}",0
2dm-6441,"{'Os': 1, 'O': 2}",0.82
2dm-2377,"{'Ho': 1, 'Se': 1}",0.21
2dm-2378,"{'Ho': 1, 'Te': 1}",0.22
2dm-2379,"{'Al': 4, 'Sb': 4}",0
2dm-2381,"{'Ta': 1, 'O': 2}",1.48
2dm-2384,"{'Ce': 2, 'Se': 2}",1.51
2dm-2386,"{'P': 1, 'Br': 3}",1.69
2dm-2388,"{'Si': 1, 'Ge': 1}",0.3
2dm-2390,"{'Si': 3, 'W': 1}",0
2dm-2391,"{'Si': 1, 'Pb': 1}",0.4
2dm-2395,"{'As': 8, 'O': 12}",1.47
2dm-2396,"{'Bi': 2, 'Te': 2}",1.56
2dm-2397,"{'Au': 4, 'Se': 2}",10.56
2dm-6442,"{'Ni': 1, 'P': 1}",0
2dm-2399,"{'Ta': 1, 'Te': 2}",9.58
2dm-2400,"{'Pd': 3, 'S': 4}",1.37
2dm-2401,"{'Hf': 1, 'I': 4}",1.74
2dm-2402,"{'In': 2, 'O': 3}",1.73
2dm-2403,"{'Cd': 3, 'Bi': 1}",0
2dm-2404,"{'B': 4, 'Sb': 4}",0
2dm-2409,"{'Th': 1, 'C': 2}",0.55
2dm-2410,"{'As': 1, 'O': 2}",1.36
2dm-2411,"{'Cu': 1, 'Hg': 3}",0
2dm-2412,"{'Ge': 3, 'Mo': 1}",0
2dm-2413,"{'Mo': 1, 'Pb': 3}",0
2dm-2416,"{'Au': 4, 'O': 4}",1.77
2dm-2420,"{'Cd': 1, 'H': 1}",0.89
2dm-2421,"{'Hg': 3, 'Bi': 1}",0
2dm-2422,"{'Y': 2, 'Te': 2}",10.1
2dm-2423,"{'Cr': 1, 'Si': 3}",0
2dm-2426,"{'Ti': 1, 'F': 4}",1.13
2dm-2427,"{'Ti': 1, 'Te': 2}",9.46
2dm-2428,"{'N': 1, 'Cl': 3}",1.54
2dm-2432,"{'Cu': 4, 'Se': 2}",10.69
2dm-2437,"{'Sm': 2, 'Te': 2}",1.64
2dm-2438,"{'As': 2, 'S': 2}",1.49
2dm-2439,"{'Pt': 3, 'Se': 4}",1.48
2dm-2442,"{'Bi': 4, 'C': 3}",3.46
2dm-2444,"{'Cr': 1, 'Ge': 3}",0
2dm-2447,"{'Si': 3, 'Bi': 4}",3.12
2dm-2451,"{'Ag': 1, 'Hg': 3}",0
2dm-2454,"{'Bi': 8, 'O': 12}",1.58
2dm-2455,"{'Nd': 1, 'Te': 3}",0
2dm-2456,"{'Hg': 12, 'S': 12}",14.52
2dm-2461,"{'Sc': 2, 'Te': 2}",10.18
2dm-2462,"{'Be': 3, 'Cl': 6}",1.8
2dm-2464,"{'P': 4, 'O': 6}",0.41
2dm-2466,"{'Sm': 2, 'Se': 2}",1.51
2dm-2469,"{'Nb': 1, 'Te': 2}",2.32
2dm-2472,"{'S': 2, 'N': 2}",1.26
2dm-2474,"{'In': 4, 'As': 4}",0
2dm-2475,"{'Ga': 4, 'Sb': 4}",0
2dm-2477,"{'Sb': 1, 'F': 3}",1.41
2dm-2478,"{'Cd': 12, 'S': 12}",14.38
2dm-2480,"{'K': 2, 'Cl': 1}",1.56
2dm-2483,"{'Be': 2, 'Sb': 1}",0.83
2dm-2485,"{'Ca': 2, 'Bi': 1}",1.3
2dm-2488,"{'As': 1, 'Cl': 3}",1.63
2dm-2490,"{'Cu': 2, 'Se': 4}",9.39
2dm-2491,"{'As': 1, 'F': 3}",1.3
2dm-2492,"{'Ba': 2, 'Sb': 1}",1.53
2dm-2495,"{'P': 2, 'Se': 2}",1.12
2dm-2497,"{'Bi': 1, 'I': 3}",2.08
2dm-2498,"{'Cr': 2, 'As': 2}",1.62
2dm-2500,"{'Mo': 2, 'P': 2}",1.7
2dm-2502,"{'Sr': 2, 'N': 1}",1.1
2dm-2504,"{'Bi': 4, 'O': 6}",0.96
2dm-2506,"{'Be': 2, 'As': 1}",0.66
2dm-2507,"{'Sn': 1, 'C': 1}",0.02
2dm-2509,"{'Re': 2, 'O': 4}",10.89
2dm-6443,"{'Ru': 1, 'O': 2}",0.81
2dm-2512,"{'Ca': 2, 'P': 1}",1.18
2dm-2515,"{'Cr': 2, 'N': 2}",1.32
2dm-2517,"{'As': 4, 'O': 6}",0.46
2dm-2518,"{'Cd': 3, 'Sb': 1}",0
2dm-2519,"{'S': 10, 'N': 10}",10.09
2dm-2525,"{'Bi': 2, 'N': 2}",1.11
2dm-2527,"{'Ba': 2, 'As': 1}",1.4
2dm-2529,"{'Sb': 12, 'Te': 12}",10.1
2dm-2532,"{'In': 1, 'Te': 1}",0.69
2dm-2533,"{'As': 4, 'Pb': 3}",2.95
2dm-2534,"{'Au': 2, 'N': 12}",2.7
2dm-6446,"{'Ni': 1, 'As': 1}",0
2dm-2537,"{'Tl': 4, 'As': 4}",0
2dm-2541,"{'Ru': 4, 'Se': 8}",1.38
2dm-2542,"{'Bi': 10, 'Se': 10}",10.14
2dm-2543,"{'K': 2, 'F': 1}",1.26
2dm-2544,"{'Br': 10, 'N': 2}",10.45
2dm-2545,"{'Sb': 10, 'Se': 10}",10.22
2dm-2546,"{'Cd': 12, 'Se': 12}",12.14
2dm-2547,"{'Hf': 1, 'Br': 4}",1.59
2dm-2550,"{'Ca': 2, 'N': 1}",0.99
2dm-2555,"{'Se': 3, 'O': 9}",1.14
2dm-2557,"{'Ag': 2, 'N': 12}",2.71
2dm-2559,"{'Zn': 12, 'Te': 12}",12.08
2dm-2561,"{'Sn': 3, 'N': 4}",0.02
2dm-2566,"{'Al': 4, 'Sb': 4}",0.4
2dm-2567,"{'Tl': 1, 'Se': 1}",0.57
2dm-2570,"{'Cd': 12, 'S': 12}",11.51
2dm-2573,"{'Cd': 12, 'Se': 12}",14.53
2dm-2576,"{'Au': 4, 'S': 2}",10.6
2dm-2577,"{'Th': 1, 'Sn': 2}",1.24
2dm-6448,"{'Si': 4, 'O': 8}",0.74
2dm-2582,"{'Ga': 4, 'N': 4}",0
2dm-2583,"{'Sr': 2, 'Sb': 1}",1.35
2dm-2586,"{'Pt': 2, 'F': 4}",1.49
2dm-2587,"{'P': 10, 'S': 10}",10.13
2dm-2590,"{'Al': 4, 'N': 4}",0
2dm-2596,"{'Na': 2, 'I': 1}",1.68
2dm-2597,"{'Ga': 4, 'P': 4}",0
2dm-2598,"{'Bi': 4, 'B': 4}",0
2dm-2599,"{'N': 1, 'O': 2}",0.99
2dm-2602,"{'P': 2, 'S': 2}",1.46
2dm-2604,"{'Bi': 1, 'O': 2}",1.65
2dm-2610,"{'Sb': 2, 'P': 2}",1.28
2dm-2613,"{'Te': 12, 'As': 12}",10.2
2dm-2619,"{'V': 2, 'O': 5}",1.05
2dm-2621,"{'In': 4, 'Bi': 4}",0
2dm-2623,"{'Al': 1, 'Se': 1}",0.58
2dm-2625,"{'Sb': 10, 'S': 10}",10.25
2dm-2626,"{'Tl': 4, 'N': 4}",0
2dm-2627,"{'Rb': 2, 'Cl': 1}",1.64
2dm-2628,"{'Cr': 1, 'Pb': 3}",0
2dm-2631,"{'In': 4, 'Sb': 4}",0
2dm-2640,"{'As': 12, 'Au': 2}",3.59
2dm-2642,"{'Cr': 1, 'Sn': 3}",0
2dm-2644,"{'Cd': 12, 'Te': 12}",15.57
2dm-2650,"{'Tl': 4, 'Bi': 4}",0
2dm-2651,"{'Pd': 2, 'Br': 4}",1.87
2dm-2652,"{'P': 12, 'Au': 2}",3.24
2dm-2653,"{'Pb': 2, 'Br': 8}",9.38
2dm-2657,"{'V': 2, 'I': 10}",9.85
2dm-2659,"{'Be': 2, 'N': 1}",0.01
2dm-2660,"{'Os': 6, 'S': 8}",2.75
2dm-2663,"{'V': 1, 'Se': 2}",9.77
2dm-2666,"{'Ca': 3, 'Br': 6}",2.8
2dm-2667,"{'P': 8, 'O': 12}",1.45
2dm-2669,"{'Te': 8, 'Ru': 6}",3.11
2dm-2672,"{'Tl': 4, 'P': 4}",0
2dm-2680,"{'As': 12, 'Se': 12}",10.29
2dm-2681,"{'Zn': 12, 'Te': 12}",14.4
2dm-2682,"{'As': 1, 'Br': 3}",1.76
2dm-2686,"{'Si': 1, 'C': 1}",0
2dm-2688,"{'Hf': 1, 'Te': 2}",9.42
2dm-2689,"{'P': 1, 'I': 3}",1.89
2dm-2697,"{'Rb': 2, 'Br': 1}",1.74
2dm-2706,"{'As': 2, 'W': 2}",1.79
2dm-6451,"{'Ni': 1, 'Bi': 1}",0
2dm-2708,"{'Zn': 3, 'Cu': 1}",0.01
2dm-2711,"{'Os': 3, 'Se': 4}",2.68
2dm-2712,"{'Ru': 3, 'Se': 4}",2.74
2dm-2720,"{'Sn': 2, 'I': 8}",9.29
2dm-2721,"{'B': 13, 'N': 2}",10.4
2dm-2723,"{'W': 3, 'O': 8}",1.01
2dm-2724,"{'Mo': 1, 'I': 5}",10.34
2dm-2725,"{'Ga': 13, 'N': 2}",10.5
2dm-2726,"{'Ca': 3, 'F': 6}",2.76
2dm-2728,"{'Sb': 1, 'Br': 3}",1.86
2dm-2732,"{'Hf': 1, 'Bi': 2}",8.62
2dm-6452,"{'Bi': 1, 'Pt': 1}",0
2dm-2738,"{'Ta': 8, 'O': 18}",1.24
2dm-2740,"{'Mg': 2, 'N': 1}",0.78
2dm-2746,"{'P': 4, 'O': 8}",0.96
2dm-2747,"{'In': 6, 'O': 9}",10.29
2dm-6453,"{'Bi': 1, 'Pd': 1}",0
2dm-2757,"{'Zn': 3, 'Ag': 1}",0
2dm-2761,"{'Zn': 3, 'N': 1}",0
2dm-2768,"{'Zr': 1, 'Bi': 2}",8.62
2dm-2773,"{'Pb': 2, 'I': 8}",9.28
2dm-2776,"{'Zn': 3, 'Sb': 1}",0
2dm-2777,"{'Cr': 2, 'I': 10}",10.04
2dm-2778,"{'Sr': 3, 'I': 6}",3.11
2dm-2780,"{'Hf': 1, 'Sb': 2}",8.69
2dm-2781,"{'Mo': 3, 'O': 8}",1.01
2dm-2782,"{'B': 13, 'As': 2}",10.06
2dm-2787,"{'Yb': 2, 'F': 6}",0.93
2dm-2790,"{'V': 1, 'Te': 2}",2.18
2dm-2792,"{'V': 1, 'Se': 2}",1.99
2dm-2793,"{'Zr': 6, 'O': 6}",4.65
2dm-2797,"{'Mg': 3, 'I': 6}",2.16
2dm-2800,"{'Ge': 3, 'N': 4}",0.01
2dm-2803,"{'Ge': 1, 'C': 1}",0
2dm-2804,"{'Zn': 3, 'As': 1}",0
2dm-2813,"{'Yb': 2, 'I': 6}",1.67
2dm-2819,"{'Cd': 12, 'Te': 12}",12.66
2dm-2823,"{'Ni': 2, 'C': 8}",8.95
2dm-2824,"{'Cd': 3, 'N': 1}",0
2dm-2827,"{'Ta': 6, 'Co': 18}",1.51
2dm-2830,"{'Ta': 6, 'Rh': 18}",1.58
2dm-2831,"{'Ga': 6, 'O': 9}",10.35
2dm-2847,"{'Tl': 4, 'Sb': 4}",0
2dm-2848,"{'Bi': 10, 'Te': 10}",10.04
2dm-2849,"{'V': 6, 'Ir': 18}",1.49
2dm-2852,"{'Bi': 12, 'O': 24}",3.91
2dm-2861,"{'Ta': 6, 'Ir': 18}",1.5
2dm-2862,"{'Sr': 3, 'Cl': 6}",2.39
2dm-2865,"{'Zn': 3, 'P': 1}",0
2dm-2870,"{'Zn': 3, 'Bi': 1}",0
2dm-2873,"{'C': 4, 'S': 4}",9.71
2dm-6455,"{'P': 1, 'Pt': 1}",0
2dm-2876,"{'Li': 2, 'F': 1}",0.98
2dm-2878,"{'Pb': 1, 'C': 1}",0.18
2dm-6456,"{'Ni': 1, 'Sb': 1}",0
2dm-2880,"{'Nb': 8, 'O': 18}",1.31
2dm-2883,"{'Cr': 2, 'Sb': 2}",1.69
2dm-2891,"{'V': 1, 'I': 5}",10.33
2dm-2892,"{'Se': 12, 'N': 12}",9.77
2dm-2893,"{'Hg': 12, 'Te': 12}",14.46
2dm-2908,"{'Al': 13, 'Sb': 2}",10.71
2dm-2910,"{'Nb': 1, 'Te': 2}",9.57
2dm-6457,"{'Sb': 1, 'Pt': 1}",0
2dm-2919,"{'Hg': 12, 'Se': 12}",12.16
2dm-2922,"{'Hg': 12, 'Te': 12}",12.73
2dm-2925,"{'Ti': 1, 'Bi': 2}",8.75
2dm-2932,"{'Si': 6, 'Sb': 8}",1.53
2dm-2934,"{'V': 6, 'Rh': 18}",1.69
2dm-2938,"{'Ba': 3, 'Cl': 6}",3.09
2dm-6458,"{'Pb': 4, 'O': 10}",2.35
2dm-2941,"{'In': 2, 'S': 2}",2
2dm-2942,"{'Al': 2, 'Br': 2}",1.4
2dm-2943,"{'Ga': 4, 'O': 6}",12.31
2dm-2944,"{'Be': 4, 'Bi': 2}",11.32
2dm-2945,"{'Ca': 4, 'Sb': 2}",11.11
2dm-2946,"{'Sr': 4, 'Sb': 2}",11.78
2dm-2947,"{'Be': 4, 'Sb': 2}",10.56
2dm-2948,"{'Ga': 2, 'Te': 2}",2.3
2dm-2949,"{'B': 4, 'O': 6}",11.63
2dm-2950,"{'In': 4, 'O': 6}",12.11
2dm-2951,"{'Tl': 2, 'Te': 2}",2.31
2dm-2952,"{'In': 2, 'Te': 2}",2.38
2dm-2953,"{'Ba': 4, 'Sb': 2}",12
2dm-2954,"{'B': 2, 'Cl': 2}",0.92
2dm-2955,"{'Sr': 4, 'As': 2}",11.45
2dm-2956,"{'B': 2, 'Te': 2}",2.39
2dm-2957,"{'Al': 2, 'Te': 2}",2.4
2dm-2958,"{'Mg': 4, 'Bi': 2}",12.75
2dm-2959,"{'Al': 2, 'F': 2}",1.03
2dm-2960,"{'Ba': 4, 'As': 2}",11.7
2dm-2961,"{'Sr': 4, 'P': 2}",11.3
2dm-2962,"{'Tl': 2, 'Se': 2}",2.07
2dm-2963,"{'Tl': 2, 'S': 2}",1.93
2dm-2964,"{'Mg': 4, 'P': 2}",11.27
2dm-2965,"{'Ca': 4, 'As': 2}",11.04
2dm-2966,"{'Ca': 4, 'N': 2}",9.67
2dm-2967,"{'B': 2, 'Se': 2}",2.2
2dm-2968,"{'Ga': 2, 'S': 2}",1.98
2dm-2969,"{'Mg': 4, 'N': 2}",9.09
2dm-2970,"{'Ba': 4, 'N': 2}",10.74
2dm-2971,"{'In': 2, 'Se': 2}",2.16
2dm-2972,"{'Be': 4, 'P': 2}",9.63
2dm-2973,"{'Al': 2, 'Cl': 2}",1.3
2dm-2974,"{'Al': 2, 'Se': 2}",2.19
2dm-2975,"{'Al': 2, 'S': 2}",2.07
2dm-2976,"{'Al': 4, 'O': 6}",12.09
2dm-2977,"{'B': 2, 'S': 2}",1.92
2dm-2978,"{'Be': 4, 'As': 2}",10.1
2dm-2979,"{'B': 2, 'Br': 2}",0.98
2dm-2980,"{'Mg': 4, 'Sb': 2}",12.49
2dm-2981,"{'B': 2, 'I': 2}",1.21
2dm-2982,"{'Sr': 4, 'N': 2}",10.3
2dm-2983,"{'Be': 4, 'N': 2}",8.02
2dm-2984,"{'B': 2, 'F': 2}",0.78
2dm-2985,"{'Ca': 4, 'P': 2}",10.74
2dm-2986,"{'Ba': 4, 'Bi': 2}",11.89
2dm-2987,"{'Ca': 4, 'Bi': 2}",11.6
2dm-2988,"{'Ba': 4, 'P': 2}",11.56
2dm-2989,"{'Sr': 4, 'Bi': 2}",13.28
2dm-2991,"{'C': 3, 'N': 1}",0
2dm-2992,"{'Ga': 1, 'N': 1}",0
2dm-2993,"{'Li': 2, 'B': 2}",0
2dm-2994,{'Ga': 2},1.32
2dm-2995,"{'Sb': 2, 'Te': 3}",2.67
2dm-2996,"{'Dy': 2, 'C': 1}",1.12
2dm-2997,"{'Hg': 1, 'Br': 1, 'N': 1}",0.52
2dm-2998,"{'Li': 2, 'Mg': 2}",2.79
2dm-2999,"{'Al': 2, 'Zn': 2, 'S': 5}",3.94
2dm-3000,"{'V': 1, 'Te': 2}",1.4
2dm-3001,"{'H': 6, 'W': 2}",1.59
2dm-3002,"{'Tm': 2, 'Te': 6}",3.39
2dm-3003,"{'Ti': 2, 'H': 2, 'O': 3}",2.19
2dm-3004,"{'Ti': 2, 'Se': 2}",1.02
2dm-3005,"{'Tb': 2, 'Te': 6}",3.45
2dm-3006,"{'Dy': 1, 'Sb': 2}",2.13
2dm-3007,"{'Si': 2, 'Ni': 2, 'Sb': 2}",1.34
2dm-3008,"{'Ca': 2, 'Co': 2, 'Si': 2}",1.53
2dm-3009,"{'Ca': 1, 'Si': 3, 'Ir': 1}",1.42
2dm-3010,"{'Ca': 2, 'Co': 1, 'O': 3}",1.73
2dm-3011,"{'Zn': 2, 'Ga': 2, 'S': 5}",4.15
2dm-3012,"{'Bi': 2, 'S': 2}",1.51
2dm-3013,"{'Pb': 1, 'S': 1}",0.73
2dm-3014,"{'S': 2, 'N': 2}",0.46
2dm-3015,"{'Mg': 2, 'Sn': 1}",0
2dm-3016,"{'Co': 1, 'O': 2}",0.98
2dm-3018,"{'Mn': 1, 'H': 1, 'O': 2}",1.13
2dm-3019,"{'Nb': 1, 'S': 2}",1.28
2dm-3020,{'P': 10},1.32
2dm-3022,"{'Y': 2, 'Mg': 4}",2.38
2dm-3023,"{'Al': 3, 'Ru': 2}",2.02
2dm-3024,"{'Tb': 2, 'Mg': 2, 'Ni': 2}",2.3
2dm-3026,"{'Zn': 3, 'Ga': 2, 'S': 6}",5.07
2dm-3027,"{'Rb': 1, 'Mg': 6, 'B': 1, 'O': 7}",2.84
2dm-3029,"{'Al': 2, 'Zn': 2, 'S': 5}",4.13
2dm-3031,"{'Ir': 2, 'C': 4}",1.54
2dm-3032,"{'Na': 1, 'Mn': 1, 'Se': 2}",1.63
2dm-3033,"{'Nb': 3, 'Te': 6}",1.51
2dm-3034,"{'Hf': 1, 'Ta': 1, 'N': 1, 'O': 3}",1.5
2dm-3036,"{'Sr': 2, 'Mg': 4}",2.76
2dm-3037,"{'Ho': 2, 'Co': 2, 'Ge': 4}",2.16
2dm-3038,"{'Ho': 1, 'Cu': 2, 'S': 2}",1.67
2dm-3040,"{'Mg': 2, 'Bi': 4}",2.23
2dm-3041,"{'Fe': 2, 'H': 2, 'O': 4}",2.01
2dm-3042,{'Ga': 1},0
2dm-3043,{'P': 2},0.62
2dm-3044,"{'Ca': 1, 'Fe': 1, 'S': 1, 'O': 1}",1.26
2dm-3045,"{'Pb': 2, 'S': 2}",1.35
2dm-3047,"{'Ti': 1, 'Zn': 1, 'Bi': 2, 'O': 6}",2.76
2dm-3048,"{'Ce': 2, 'I': 6}",1.6
2dm-3049,"{'Pd': 1, 'N': 2}",0
2dm-3050,"{'Te': 2, 'W': 1}",1.49
2dm-3051,"{'Li': 2, 'Mg': 4}",4.27
2dm-3052,"{'U': 4, 'S': 2}",0.07
2dm-3055,"{'Mg': 3, 'Bi': 3}",2.31
2dm-3056,{'Sb': 1},0
2dm-3057,"{'Nb': 2, 'Cu': 1, 'S': 4}",3.28
2dm-3059,"{'Lu': 1, 'Pb': 2}",1.52
2dm-3060,"{'La': 1, 'Te': 3}",1.87
2dm-3061,"{'Nd': 1, 'B': 4}",0
2dm-3062,"{'Si': 4, 'S': 8}",1.28
2dm-3063,"{'Mg': 1, 'Br': 2, 'O': 6}",1.33
2dm-3064,"{'U': 2, 'S': 6}",2.22
2dm-3065,"{'Zn': 2, 'Sn': 2, 'O': 6}",1.08
2dm-3066,"{'Np': 2, 'Se': 6}",2.33
2dm-3067,"{'Pr': 2, 'Te': 6}",3.58
2dm-3068,"{'Tb': 1, 'Cu': 2, 'S': 2}",1.73
2dm-3069,"{'Nd': 1, 'Al': 3, 'Cu': 1}",1.49
2dm-3070,"{'Mg': 4, 'Sn': 2}",4.45
2dm-3072,"{'Ca': 2, 'Mg': 4}",2.59
2dm-3073,"{'Pb': 2, 'Se': 2}",1.41
2dm-3074,"{'Zn': 1, 'Re': 2, 'O': 8}",1.91
2dm-3075,"{'Zn': 2, 'Ga': 2, 'S': 5}",4.16
2dm-3076,"{'Cr': 1, 'Te': 4, 'Au': 1}",1.36
2dm-3077,"{'Mg': 6, 'B': 1, 'C': 1}",0.95
2dm-3078,"{'Co': 1, 'O': 2}",0.8
2dm-3079,"{'C': 2, 'N': 4}",0.62
2dm-3080,"{'Dy': 2, 'Te': 6}",3.66
2dm-3081,"{'Zn': 2, 'Ga': 2, 'S': 5}",3.94
2dm-3082,"{'Nb': 1, 'S': 2}",1.22
2dm-3083,"{'Cd': 2, 'N': 2, 'Cl': 6}",1.5
2dm-3084,"{'Zr': 4, 'Sn': 4}",3.26
2dm-3085,"{'Al': 1, 'N': 1}",0
2dm-3086,"{'Ni': 1, 'H': 1, 'O': 2}",1.12
2dm-3087,"{'Er': 2, 'Ni': 2, 'Ge': 4}",2.26
2dm-3089,"{'B': 13, 'P': 2}",1.35
2dm-3091,"{'Rb': 1, 'Hf': 1, 'Mg': 6, 'O': 7}",2.76
2dm-3092,"{'Pb': 4, 'S': 4}",1.52
2dm-3093,"{'Fe': 2, 'O': 4}",1.37
2dm-3094,"{'La': 2, 'Cl': 2, 'O': 4}",1.64
2dm-3095,{'Ge': 2},0.34
2dm-3096,"{'Hg': 2, 'N': 2, 'Cl': 2}",0.96
2dm-3097,"{'Y': 2, 'Zn': 2, 'P': 2, 'O': 2}",2.79
2dm-3098,"{'Li': 2, 'Be': 2}",2.59
2dm-3099,"{'Ga': 2, 'Te': 2}",1.98
2dm-3101,"{'B': 1, 'Pt': 2}",1.22
2dm-3102,"{'Pt': 1, 'N': 2, 'O': 6}",1.25
2dm-3103,{'B': 1},0
2dm-3104,"{'Ni': 1, 'Cl': 2, 'O': 6}",1.16
2dm-3105,"{'Mg': 2, 'Sb': 4}",1.43
2dm-3106,"{'V': 3, 'Te': 6}",1.39
2dm-3107,"{'Cu': 2, 'W': 1, 'Se': 4}",1.08
2dm-3108,"{'Re': 2, 'N': 4}",2.2
2dm-3109,"{'La': 2, 'Bi': 2, 'Se': 4, 'O': 2}",3.82
2dm-3110,"{'Ta': 2, 'Al': 2, 'O': 8}",1.95
2dm-3111,"{'Sn': 2, 'P': 2, 'S': 6}",1.44
2dm-3112,"{'Na': 4, 'Cl': 2}",1.61
2dm-3113,"{'Sr': 1, 'Mg': 2}",2.31
2dm-3114,"{'Co': 1, 'Si': 2, 'Se': 4}",1.23
2dm-3115,"{'Mg': 3, 'C': 1}",0.92
2dm-3117,"{'Li': 2, 'Tl': 2}",1.89
2dm-3118,"{'Tl': 2, 'Cu': 1, 'F': 4}",1.53
2dm-3119,"{'Mg': 1, 'Cu': 1, 'O': 2}",0.12
2dm-3120,{'Se': 2},0.52
2dm-3121,"{'Mg': 2, 'Sb': 4}",1.83
2dm-3122,"{'Zn': 4, 'Ge': 4, 'N': 8}",1.3
2dm-3123,"{'Mg': 5, 'Ti': 1}",1.93
2dm-3125,"{'Mg': 2, 'Ti': 1}",2.05
2dm-3126,"{'Dy': 2, 'Te': 6}",3.43
2dm-3127,"{'Sb': 2, 'S': 2}",1.16
2dm-3128,"{'Mg': 2, 'Ti': 4}",2.24
2dm-3129,"{'Ba': 2, 'Fe': 2, 'S': 2}",1.75
2dm-3131,"{'Zr': 2, 'Cd': 2}",2.57
2dm-3132,"{'Tm': 2, 'Te': 6}",3.58
2dm-3134,"{'Ce': 2, 'Mg': 4}",2.54
2dm-3136,"{'La': 1, 'Al': 3, 'Cu': 1}",1.48
2dm-3137,"{'In': 2, 'Te': 3}",2.57
2dm-3138,"{'Mg': 1, 'O': 2}",0.66
2dm-3139,"{'Cr': 1, 'Se': 2}",1.22
2dm-3140,"{'Th': 1, 'Ge': 2}",1.05
2dm-3141,"{'Mg': 3, 'Sn': 3}",4.23
2dm-3144,{'Pb': 2},1.31
2dm-3145,"{'Mg': 4, 'Ti': 4}",3.01
2dm-3146,"{'Y': 2, 'Mg': 4}",1.85
2dm-3147,"{'Zr': 2, 'Cl': 6}",1.32
2dm-3148,"{'Yb': 2, 'Co': 2, 'Ge': 4}",2.16
2dm-3149,"{'W': 2, 'N': 3}",1.88
2dm-3150,"{'Mo': 1, 'S': 2}",1.28
2dm-3153,{'Te': 2},0.59
2dm-3154,"{'Al': 2, 'Zn': 1, 'S': 4}",3.2
2dm-3155,"{'Bi': 4, 'O': 6}",1.15
2dm-3156,"{'C': 6, 'N': 2}",0
2dm-3157,"{'Na': 2, 'Hf': 1, 'N': 2}",1.77
2dm-3158,"{'H': 2, 'C': 2, 'S': 1}",1.43
2dm-3159,"{'Cd': 1, 'O': 2}",0.82
2dm-3160,"{'Sm': 1, 'Ge': 2}",1
2dm-3161,"{'Hf': 2, 'Cd': 2}",2.45
2dm-3162,"{'Tl': 4, 'Ge': 2, 'Se': 6}",1.4
2dm-3163,"{'Yb': 2, 'Cu': 2, 'Pb': 2, 'Se': 6}",1.83
2dm-3164,"{'Te': 2, 'O': 4}",1.46
2dm-3165,"{'Li': 1, 'Mn': 1, 'Te': 2}",1.61
2dm-3166,"{'Mg': 1, 'Sb': 3}",1.52
2dm-3167,"{'Ge': 6, 'P': 6}",1.62
2dm-3168,"{'Tb': 1, 'Ge': 2}",1.03
2dm-3169,"{'Na': 1, 'Li': 2, 'As': 1}",1.69
2dm-3170,"{'Mn': 1, 'Sb': 2, 'S': 4}",1.62
2dm-3171,"{'Ce': 2, 'Mg': 4}",2.28
2dm-3172,"{'Mg': 8, 'Ti': 8}",2.91
2dm-3173,"{'Ce': 1, 'Se': 2}",1.5
2dm-3174,"{'Hf': 1, 'Mg': 6, 'B': 1, 'O': 7}",2.55
2dm-3176,"{'Te': 2, 'Pb': 2}",1.53
2dm-3177,"{'La': 2, 'Bi': 2, 'S': 4, 'O': 2}",3.65
2dm-3178,"{'Zn': 1, 'O': 2, 'F': 2}",0.85
2dm-3179,"{'Ta': 4, 'Pt': 2, 'Se': 14}",1.65
2dm-3180,"{'Eu': 3, 'S': 3}",2.37
2dm-3182,"{'La': 1, 'Mg': 5}",2.07
2dm-3183,"{'Ti': 1, 'S': 2}",1.17
2dm-3184,"{'Mg': 4, 'Ti': 4}",2.38
2dm-3185,"{'Nd': 4, 'Te': 10}",6.25
2dm-3186,"{'Tb': 2, 'Ga': 2, 'I': 2}",2.61
2dm-3187,"{'Ce': 1, 'Mg': 5}",2.09
2dm-3188,"{'Mo': 2, 'Br': 4, 'O': 4}",1.55
2dm-3189,"{'Y': 2, 'C': 1}",1.11
2dm-3192,"{'Sr': 2, 'Gd': 1, 'S': 3}",2.35
2dm-3193,"{'Rb': 1, 'Li': 1, 'Mg': 6, 'O': 7}",2.75
2dm-3194,"{'Zr': 1, 'S': 2}",1.19
2dm-3196,"{'Yb': 2, 'Cl': 6}",1.39
2dm-3197,"{'Hf': 2, 'Si': 2, 'Se': 2}",2.28
