id,atom_counts,z_variance
2dm-377,"{'Sn': 2, 'N': 6}",0.69
2dm-380,"{'Ti': 1, 'F': 2}",1.05
2dm-381,"{'B': 8, 'S': 6}",2.11
2dm-383,"{'Be': 1, 'Ge': 2}",10.25
2dm-386,"{'U': 2, 'S': 10}",12.81
2dm-388,"{'Al': 2, 'Se': 5}",1.37
2dm-389,"{'Sr': 2, 'Au': 2}",1.28
2dm-390,"{'Mn': 6, 'Br': 18}",2.13
2dm-6376,"{'Sn': 2, 'Te': 2}",1.47
2dm-395,"{'As': 8, 'C': 4}",1.6
2dm-399,"{'W': 12, 'I': 24}",2.15
2dm-400,"{'Zr': 2, 'F': 6}",1.09
2dm-404,"{'Si': 4, 'O': 4}",10.63
2dm-405,"{'In': 2, 'Fe': 1}",10.59
2dm-407,"{'Te': 2, 'Pb': 2}",1.07
2dm-409,"{'In': 2, 'Os': 1}",11.85
2dm-414,"{'Ga': 1, 'I': 1}",1.28
2dm-416,"{'P': 2, 'Se': 3}",2.25
2dm-419,"{'Y': 2, 'F': 6}",0.96
2dm-420,"{'Ga': 2, 'Os': 1}",10.01
2dm-429,"{'Y': 2, 'Ge': 1}",1.32
2dm-431,"{'Ag': 2, 'Br': 2}",1.53
2dm-434,"{'Ge': 6, 'Sb': 6}",2.19
2dm-441,"{'Tb': 2, 'F': 6}",0.98
2dm-443,"{'Sb': 2, 'O': 3}",0.9
2dm-446,"{'Pd': 1, 'S': 1}",0.45
2dm-447,"{'Sm': 2, 'S': 6}",11.88
2dm-449,"{'Rh': 4, 'Pb': 12}",2.34
2dm-450,"{'As': 2, 'Pt': 1}",1.38
2dm-451,"{'Si': 4, 'Bi': 8}",2.08
2dm-452,"{'Al': 1, 'Br': 1}",1.14
2dm-453,"{'Nd': 2, 'Cl': 6}",1.35
2dm-454,"{'S': 8, 'O': 18}",2.29
2dm-455,"{'Bi': 4, 'S': 6}",10.36
2dm-458,"{'Pb': 1, 'Se': 1}",0.78
2dm-466,"{'Ga': 2, 'As': 6}",0.61
2dm-467,"{'Sc': 1, 'I': 2}",1.55
2dm-472,"{'W': 3, 'S': 4}",3.48
2dm-474,"{'Ag': 1, 'S': 2}",1.14
2dm-479,"{'Mg': 10, 'Rh': 2}",10.78
2dm-482,"{'Sn': 4, 'O': 4}",10.35
2dm-489,"{'C': 2, 'Se': 2}",0.69
2dm-493,"{'Ti': 2, 'Si': 4}",11.42
2dm-494,"{'Cd': 3, 'F': 6}",0.83
2dm-496,"{'Ga': 8, 'O': 6}",11.97
2dm-497,"{'Ge': 1, 'Cl': 2}",1.23
2dm-503,"{'Ag': 2, 'Cl': 2}",1.47
2dm-504,"{'As': 4, 'S': 6}",1.59
2dm-507,"{'Sb': 18, 'Br': 4}",14.39
2dm-510,"{'Zr': 3, 'S': 2}",10.94
2dm-512,"{'Zr': 2, 'Hg': 2}",2.44
2dm-514,"{'Ti': 2, 'F': 2}",1.8
2dm-515,"{'Dy': 2, 'F': 6}",0.98
2dm-517,"{'W': 2, 'F': 6}",0.9
2dm-518,"{'Ge': 1, 'F': 2}",0.81
2dm-521,"{'Bi': 2, 'F': 6}",0.85
2dm-522,"{'Pd': 2, 'Se': 2}",1.4
2dm-525,"{'Au': 2, 'S': 2}",1.84
2dm-530,"{'Te': 2, 'C': 1}",10.02
2dm-534,"{'Eu': 1, 'Bi': 2}",1.04
2dm-536,"{'Al': 18, 'Te': 9}",1.42
2dm-537,"{'Pu': 2, 'F': 6}",1.03
2dm-545,"{'Zn': 3, 'I': 6}",1.34
2dm-546,"{'Tl': 2, 'Se': 2}",2.22
2dm-549,"{'Ag': 2, 'S': 2}",1.59
2dm-550,"{'Sc': 2, 'Ge': 1}",9.68
2dm-553,"{'Y': 2, 'F': 6}",0.98
2dm-554,"{'Nd': 2, 'S': 6}",11.9
2dm-559,"{'Sn': 2, 'Os': 1}",9.52
