,Unnamed: 0,atom_counts,puckering
246,246,"{'Si': 12, 'Rh': 4}",Puckered
247,247,"{'Pb': 2, 'N': 6}",Puckered
248,248,"{'P': 2, 'Pt': 1}",Puckered
249,249,"{'Pt': 1, 'N': 2}",Puckered
250,250,"{'Bi': 2, 'S': 3}",Puckered
251,251,"{'Ir': 4, 'Pb': 12}",Puckered
252,252,"{'Si': 2, 'Te': 2}",Puckered
253,253,"{'P': 8, 'Pb': 4}",Puckered
254,254,"{'Nb': 4, 'Te': 12}",Puckered
255,255,"{'Ga': 2, 'O': 1}",Puckered
256,256,"{'Au': 1, 'F': 1}",Puckered
257,257,"{'Cr': 2, 'Se': 4}",Puckered
258,258,"{'Co': 2, 'C': 8}",Puckered
259,259,"{'Ga': 2, 'Fe': 1}",Puckered
260,260,"{'Ce': 2, 'Se': 6}",Puckered
261,261,"{'Sn': 1, 'F': 2}",Puckered
262,262,"{'Ga': 2, 'Ru': 1}",Puckered
263,263,"{'As': 2, 'S': 3}",Puckered
264,264,"{'Au': 2, 'Br': 2}",Puckered
265,265,"{'Si': 2, 'Se': 2}",Puckered
266,266,"{'Sn': 1, 'Cl': 2}",Puckered
267,267,"{'Bi': 6, 'C': 6}",Puckered
268,268,"{'Sr': 2, 'As': 1}",Puckered
269,269,"{'Au': 1, 'Cl': 1}",Puckered
270,270,"{'Ti': 2, 'Cl': 2}",Puckered
271,271,"{'Al': 2, 'As': 6}",Puckered
272,272,"{'Ta': 12, 'O': 26}",Puckered
273,273,"{'Ba': 10, 'Rh': 2}",Puckered
274,274,"{'U': 2, 'Se': 10}",Puckered
275,275,"{'Hf': 2, 'Cu': 2}",Puckered
276,276,"{'Sm': 2, 'I': 6}",Puckered
277,277,"{'Te': 2, 'C': 2}",Puckered
278,278,"{'Si': 12, 'Ir': 4}",Puckered
279,279,"{'Mo': 2, 'I': 6}",Puckered
280,280,"{'Sn': 2, 'H': 2}",Puckered
281,281,"{'Sb': 6, 'C': 6}",Puckered
282,282,"{'Zr': 2, 'Cu': 2}",Puckered
283,283,"{'Ni': 1, 'S': 1}",Puckered
284,284,"{'In': 2, 'F': 2}",Puckered
285,285,"{'Mo': 3, 'Se': 4}",Puckered
286,286,"{'Tl': 8, 'S': 6}",Puckered
287,287,"{'Sr': 2, 'P': 1}",Puckered
288,288,"{'Ru': 2, 'F': 6}",Puckered
289,289,"{'Y': 2, 'Si': 1}",Puckered
290,290,"{'Ge': 4, 'Sb': 8}",Puckered
291,291,"{'Sn': 2, 'As': 6}",Puckered
292,292,"{'Dy': 2, 'I': 6}",Puckered
293,293,"{'Sn': 4, 'P': 8}",Puckered
294,294,"{'Np': 1, 'Cl': 3}",Puckered
295,295,"{'Tl': 2, 'Fe': 1}",Puckered
296,296,"{'Se': 4, 'F': 4}",Puckered
297,297,"{'P': 4, 'S': 6}",Puckered
298,298,"{'As': 6, 'C': 6}",Puckered
299,299,"{'Sr': 2, 'Sb': 1}",Puckered
300,300,"{'U': 2, 'F': 6}",Puckered
301,301,"{'As': 2, 'Se': 3}",Puckered
302,302,"{'In': 8, 'O': 6}",Puckered
303,303,"{'Y': 1, 'I': 2}",Puckered
304,304,"{'Nb': 4, 'S': 12}",Puckered
305,305,"{'Ni': 1, 'As': 2}",Puckered
306,306,"{'Si': 2, 'As': 6}",Puckered
307,307,"{'Na': 6, 'O': 3}",Puckered
308,308,"{'Si': 1, 'S': 1}",Puckered
309,309,"{'Y': 2, 'Cl': 6}",Puckered
310,310,"{'Sb': 2, 'Se': 3}",Puckered
311,311,"{'Ge': 2, 'Te': 2}",Puckered
312,312,"{'Sm': 2, 'Cl': 6}",Puckered
313,313,"{'P': 8, 'C': 4}",Puckered
314,314,"{'Te': 1, 'C': 1}",Puckered
315,315,"{'Sc': 1, 'Cl': 2}",Puckered
316,316,"{'V': 4, 'Te': 2}",Puckered
317,317,"{'As': 8, 'O': 16}",Puckered
318,318,"{'Cu': 1, 'Se': 2}",Puckered
319,319,"{'Ba': 2, 'Ir': 1}",Puckered
320,320,"{'Ta': 4, 'Te': 12}",Puckered
321,321,"{'B': 4, 'Cl': 4}",Puckered
322,322,"{'Ge': 2, 'Se': 2}",Puckered
323,323,"{'W': 2, 'Cl': 6}",Puckered
324,324,"{'Al': 4, 'I': 4}",Puckered
325,325,"{'Ge': 6, 'N': 6}",Puckered
326,326,"{'Np': 2, 'Cl': 6}",Puckered
327,327,"{'Sb': 2, 'Pt': 1}",Puckered
328,328,"{'Mo': 2, 'S': 4}",Puckered
329,329,"{'Nb': 4, 'Te': 2}",Puckered
330,330,"{'V': 4, 'S': 2}",Puckered
331,331,"{'Tl': 2, 'O': 3}",Planar
332,332,"{'Si': 12, 'Ni': 4}",Puckered
