,system,atom_types,max_puckering,mean_puckering
172,Si2As2,"{'Si': 1, 'As': 1}",0.9596,0.4846
173,beta-β-Si2P2,"{'Si': 2, 'P': 2}",0.9643,0.6093
174,Si2Sb2,"{'Si': 1, 'Sb': 1}",0.9662,0.4879
175,alpha-α-Si2P2,"{'Si': 2, 'P': 2}",0.9674,0.5922
176,Ge2As2,"{'Ge': 1, 'As': 1}",0.9679,0.4888
177,Pb2P2,"{'Pb': 1, 'P': 1}",0.968,0.4888
178,Sn2P2,"{'Sn': 1, 'P': 1}",0.9687,0.4892
179,GaS,"{'Ga': 2, 'S': 2}",0.9692,0.4978
180,As2Se3,"{'As': 4, 'Se': 6}",0.9699,0.6532
181,beta-β-Ge2P2,"{'Ge': 2, 'P': 2}",0.9715,0.6026
182,Ge2Sb2,"{'Ge': 1, 'Sb': 1}",0.9722,0.491
183,Si2Bi2,"{'Si': 1, 'Bi': 1}",0.9725,0.4911
184,alpha-α-Ge2P2,"{'Ge': 2, 'P': 2}",0.9729,0.5914
185,beta-β-Si2As2,"{'Si': 2, 'As': 2}",0.973,0.6082
186,Pb2As2,"{'Pb': 1, 'As': 1}",0.9743,0.492
187,beta-β-C2P2,"{'C': 2, 'P': 2}",0.9747,0.6079
188,Sn2As2,"{'Sn': 1, 'As': 1}",0.9753,0.4925
189,alpha-α-Si2As2,"{'Si': 2, 'As': 2}",0.9753,0.591
190,alpha-α-C2P2,"{'C': 2, 'P': 2}",0.976,0.5908
191,beta-β-Pb2P2,"{'Pb': 2, 'P': 2}",0.9767,0.6016
192,beta-β-Sn2P2,"{'Sn': 2, 'P': 2}",0.9773,0.6015
193,alpha-α-Pb2P2,"{'Pb': 2, 'P': 2}",0.9776,0.5906
194,Pb2Bi2,"{'Pb': 1, 'Bi': 1}",0.9778,0.4926
195,beta-β-Ge2As2,"{'Ge': 2, 'As': 2}",0.9778,0.6073
196,alpha-α-Sn2P2,"{'Sn': 2, 'P': 2}",0.9781,0.5905
197,beta-β-Si2Sb2,"{'Si': 2, 'Sb': 2}",0.9781,0.6072
198,alpha-α-Ge2As2,"{'Ge': 2, 'As': 2}",0.979,0.5904
199,beta-β-C2As2,"{'C': 2, 'As': 2}",0.9793,0.607
200,alpha-α-Si2Sb2,"{'Si': 2, 'Sb': 2}",0.9799,0.59
201,antimonene,{'Sb': 4},0.9801,0.5818
202,GaSe,"{'Ga': 2, 'Se': 2}",0.9801,0.5034
203,alpha-BC2N,"{'N': 6, 'B': 6, 'C': 12}",0.9808,0.6035
204,PCF-graphene,{'C': 16},0.9809,0.6376
205,beta-β-Ge2Sb2,"{'Ge': 2, 'Sb': 2}",0.981,0.6065
206,beta-β-Si2Bi2,"{'Si': 2, 'Bi': 2}",0.981,0.6066
207,alpha-α-C2As2,"{'C': 2, 'As': 2}",0.9814,0.5898
208,delta-BC2N,"{'C': 12, 'B': 6, 'N': 6}",0.9815,0.6611
209,alpha-α-Ge2Sb2,"{'Ge': 2, 'Sb': 2}",0.982,0.5896
210,alpha-α-Si2Bi2,"{'Si': 2, 'Bi': 2}",0.9826,0.5894
211,beta-β-Ge2Bi2,"{'Ge': 2, 'Bi': 2}",0.9828,0.6061
212,Penta-graphene,{'C': 6},0.9831,0.5662
213,black-P,{'P': 4},0.9834,0.5887
214,beta-β-Pb2As2,"{'Pb': 2, 'As': 2}",0.9835,0.6001
215,beta-β-Sn2As2,"{'Sn': 2, 'As': 2}",0.9837,0.6058
216,alpha-α-Ge2Bi2,"{'Ge': 2, 'Bi': 2}",0.9837,0.5891
217,alpha-α-Pb2As2,"{'Pb': 2, 'As': 2}",0.9841,0.589
218,alpha-α-Sn2As2,"{'Sn': 2, 'As': 2}",0.9845,0.5889
219,C4N-1,"{'C': 8, 'N': 2}",0.9847,0.6075
220,C4N-2,"{'C': 8, 'N': 2}",0.9848,0.6109
221,beta-β-Sn2Sb2,"{'Sn': 2, 'Sb': 2}",0.9871,0.6047
222,alpha-α-Sn2Sb2,"{'Sn': 2, 'Sb': 2}",0.9877,0.5879
223,InSe,"{'In': 2, 'Se': 2}",0.9878,0.5074
224,beta-BC2N,"{'N': 6, 'B': 6, 'C': 12}",0.9881,0.5664
225,beta-β-Sn2Bi2,"{'Sn': 2, 'Bi': 2}",0.9892,0.6039
226,InS,"{'In': 2, 'S': 2}",0.9895,0.5136
227,alpha-α-Sn2Bi2,"{'Sn': 2, 'Bi': 2}",0.9898,0.5871
228,WTe2,"{'W': 1, 'Te': 2}",0.9913,0.5839
229,MoSe2,"{'Mo': 1, 'Se': 2}",0.9918,0.5836
230,WSe2,"{'W': 1, 'Se': 2}",0.9922,0.5832
